02220000200,5228,"02220000100"
02220000100,3230,"02105000400,02220000200,02198000100"
02170001300,5885,"02170001100,02170000200,02170000300,02170001201,02170000601,02020000101"
02230000100,1240,"02100000100"
02170000300,7636,"02170001100,02170001300,02170000200,02170000706,02170001201,02170001001,02170001202,02170000402,02170000102"
02170000900,3020,"02170000603,02170000800,02170000703,02170001004,02170000601"
02150000100,1611,"02164000100,02150000500,02150000300,02150000400,02150000200,02122000100"
02150000400,952,"02150000100,02150000300,02150000200"
02150000300,2032,"02150000100,02150000500,02150000400,02150000200"
02150000500,1673,"02150000100,02150000300"
02150000200,6833,"02150000100,02150000300,02150000400"
02060000100,844,"02164000100,02070000100"
02188000100,4691,"02180000100,02185000200,02290000200,02290000300,02188000200"
02188000200,3102,"02188000100"
02020002302,4641,"02020002301,02020002400,02020002501,02020002304,02020002305"
02020001601,3824,"02020000902,02020001500,02020001602,02020000901,02020000802"
02020002502,4947,"02020002501,02020001900,02020002601,02020001801,02020002712"
02020001802,5379,"02020001500,02020001602,02020002602,02020980000,02020001801"
02020001900,3873,"02020001401,02020001500,02020002400,02020002000,02020002501,02020002502,02020001801"
02020002601,5035,"02020002502,02020002811,02020002602,02020002603,02020001801,02020002712"
02020001602,4191,"02020001500,02020000802,02020001601,02020980000,02020001802,02020001701"
02020001701,6824,"02020001602,02020001732,02020001702,02020980000"
02020002000,3315,"02020001401,02020002100,02020002400,02020001900"
02020002100,3686,"02020002202,02020001300,02020002400,02020002000"
02020002400,3039,"02020002301,02020002201,02020002202,02020002302,02020002100,02020002000,02020002501,02020001900"
02020001702,4940,"02020000701,02020000702,02020000802,02020001731,02020001701"
02020001731,6119,"02020980200,02020001732,02020000702,02020000703,02020001702"
02020002201,4742,"02020002301,02020002202,02020001300,02020002400"
02020001500,5165,"02020001402,02020001401,02020000902,02020001602,02020001601,02020001900,02020001802,02020001801"
02020002202,2931,"02020002201,02020001300,02020002100,02020002400"
02020002501,4928,"02020002302,02020002400,02020001900,02020002502,02020002712,02020002305"
02020001801,4372,"02020001500,02020001900,02020002502,02020002601,02020001802"
02020002821,5080,"02020002822,02020002812,02020002713"
02020000500,2124,"02020000601,02020001300,02020980100,02170000604,02020001100,02020001200"
02198000300,71,"02130000102"
02198940100,1562,"02130000102,02198000100"
02198000100,2069,"02105000400,02195000200,02275000300,02130000102,02198940100,02198000200,02220000100"
02198000200,2051,"02198000100"
